Label,Outcome,Estimate,Std.Err,P-value,N,BW,Donut,Method,cutoff_date,is_true_cutoff
2019-01-14,total_downloads_52wk,-0.5572954221953881,0.06094755156837311,6.026625529632047e-20,39979,26,Yes,WLS (HC1),2019-01-14,False
2019-01-21,total_downloads_52wk,-0.8019395878185911,0.06038964664162627,3.0473826189121787e-40,40155,26,Yes,WLS (HC1),2019-01-21,False
2019-01-28,total_downloads_52wk,-0.7571099505015094,0.05944167239986199,3.681773104468448e-37,40316,26,Yes,WLS (HC1),2019-01-28,False
2019-02-04,total_downloads_52wk,-0.6020224477816082,0.06014304438146199,1.3797094952382777e-23,40351,26,Yes,WLS (HC1),2019-02-04,False
2019-02-11,total_downloads_52wk,-0.3191104246200752,0.06168654120768202,2.302461385283779e-07,40509,26,Yes,WLS (HC1),2019-02-11,False
2019-02-18,total_downloads_52wk,-0.26397844094679473,0.060453489983021816,1.261742092779241e-05,40491,26,Yes,WLS (HC1),2019-02-18,False
2019-02-25,total_downloads_52wk,-0.19478936454089385,0.062351620951949675,0.0017838225086210587,40435,26,Yes,WLS (HC1),2019-02-25,False
2019-03-04,total_downloads_52wk,-0.1641314542526648,0.06178231422142454,0.007893092144060594,40338,26,Yes,WLS (HC1),2019-03-04,False
2019-03-11,total_downloads_52wk,-0.17959354419918272,0.06057512240651037,0.0030287292058783616,40621,26,Yes,WLS (HC1),2019-03-11,False
2019-03-18,total_downloads_52wk,-0.10309892932718606,0.06377463858478608,0.10596177787030281,40542,26,Yes,WLS (HC1),2019-03-18,False
2019-03-25,total_downloads_52wk,-0.08984110879558416,0.063086041086259,0.1544162524277765,40642,26,Yes,WLS (HC1),2019-03-25,False
2019-04-01,total_downloads_52wk,0.11925362557859265,0.06175885690222129,0.053488513391461406,40363,26,Yes,WLS (HC1),2019-04-01,False
2019-04-08,total_downloads_52wk,0.13756965080201,0.061257042832800944,0.02471830263887423,40292,26,Yes,WLS (HC1),2019-04-08,False
2019-04-15,total_downloads_52wk,0.16575267939226,0.06089760054672059,0.006492229352338536,40435,26,Yes,WLS (HC1),2019-04-15,False
2019-04-22,total_downloads_52wk,0.11577538244310819,0.05860973627887587,0.04822720464537564,40795,26,Yes,WLS (HC1),2019-04-22,False
2019-04-29,total_downloads_52wk,0.08111352132323663,0.05784333214857196,0.16082662656812186,41077,26,Yes,WLS (HC1),2019-04-29,False
2019-05-06,total_downloads_52wk,-0.0324916598967291,0.05735522264777283,0.5710548066035659,41388,26,Yes,WLS (HC1),2019-05-06,False
2019-05-13,total_downloads_52wk,0.01878351287126287,0.0595898788631717,0.7525998289224823,42086,26,Yes,WLS (HC1),2019-05-13,False
2019-05-20,total_downloads_52wk,0.01132138873681831,0.060026086259939576,0.8504002103441398,42312,26,Yes,WLS (HC1),2019-05-20,False
2019-05-27,total_downloads_52wk,-0.15846815199748074,0.06292220317750817,0.011786341877256488,42835,26,Yes,WLS (HC1),2019-05-27,False
2019-06-03,total_downloads_52wk,0.5158914236556442,0.06539564021820166,3.0516968609743785e-15,43396,26,Yes,WLS (HC1),2019-06-03,False
2019-06-10,total_downloads_52wk,0.4752863620407309,0.0651958143828747,3.096419932658074e-13,43724,26,Yes,WLS (HC1),2019-06-10,False
2019-06-17,total_downloads_52wk,0.38294553815474114,0.06372110207210918,1.8585199181473069e-09,44680,26,Yes,WLS (HC1),2019-06-17,False
2019-06-24,total_downloads_52wk,0.2131242536761721,0.06064910687979376,0.00044132262031790605,45119,26,Yes,WLS (HC1),2019-06-24,False
2019-07-01,total_downloads_52wk,0.14403512125962456,0.060191913898342116,0.016714365498663408,45403,26,Yes,WLS (HC1),2019-07-01,False
2019-07-08,total_downloads_52wk,0.1805197878105812,0.058854708291321396,0.0021606653650258693,45172,26,Yes,WLS (HC1),2019-07-08,False
2019-07-15,total_downloads_52wk,0.17480738417060207,0.05868620759484152,0.0028949372151192585,45425,26,Yes,WLS (HC1),2019-07-15,False
2019-07-22,total_downloads_52wk,0.12410878754540511,0.05962106834839095,0.03737661163291383,45692,26,Yes,WLS (HC1),2019-07-22,False
2019-07-29,total_downloads_52wk,0.013971309349001468,0.05978044977658521,0.8152098585003202,45960,26,Yes,WLS (HC1),2019-07-29,False
2019-08-05,total_downloads_52wk,0.05020938146619895,0.06037046463667219,0.4055851648793818,46080,26,Yes,WLS (HC1),2019-08-05,False
2019-08-12,total_downloads_52wk,0.030549139089673598,0.0594935908990936,0.6076112477737518,46147,26,Yes,WLS (HC1),2019-08-12,False
2019-08-19,total_downloads_52wk,-0.006344096472232162,0.059370936464954324,0.9149038123259963,46684,26,Yes,WLS (HC1),2019-08-19,False
2019-08-26,total_downloads_52wk,-0.06709887011064924,0.059539941780953946,0.25976125877053746,46955,26,Yes,WLS (HC1),2019-08-26,False
2019-09-02,total_downloads_52wk,-0.10083305838095485,0.05883837708580607,0.08657842940736704,47056,26,Yes,WLS (HC1),2019-09-02,False
2019-09-09,total_downloads_52wk,0.18594157592194022,0.055506778850211276,0.0008084380285674378,47804,26,Yes,WLS (HC1),2019-09-09,False
2019-09-16,total_downloads_52wk,0.0768316486693626,0.05612350781999574,0.17100725931606886,48073,26,Yes,WLS (HC1),2019-09-16,False
2019-09-23,total_downloads_52wk,-0.0035563662414209024,0.05640160400296266,0.9497232287028268,48264,26,Yes,WLS (HC1),2019-09-23,False
2019-09-30,total_downloads_52wk,0.11283520228469804,0.05707573870151153,0.048048627780720575,48414,26,Yes,WLS (HC1),2019-09-30,False
2019-10-07,total_downloads_52wk,0.17282965128350325,0.05813229272263838,0.002948656955058104,48864,26,Yes,WLS (HC1),2019-10-07,False
2019-10-14,total_downloads_52wk,0.09751665382633647,0.05944651083122498,0.1009199370426294,49390,26,Yes,WLS (HC1),2019-10-14,False
2019-10-21,total_downloads_52wk,-0.03839331103159943,0.05857380782226296,0.5121658853685538,50021,26,Yes,WLS (HC1),2019-10-21,False
2019-10-28,total_downloads_52wk,-0.1123493786542397,0.05846642948400971,0.054655488834267116,50380,26,Yes,WLS (HC1),2019-10-28,False
2019-11-04,total_downloads_52wk,-0.17688933740215554,0.05849762001096523,0.0024956168947129482,50524,26,Yes,WLS (HC1),2019-11-04,False
2019-11-11,total_downloads_52wk,-0.23546937267109172,0.0579602799600746,4.852936497043307e-05,50932,26,Yes,WLS (HC1),2019-11-11,False
2019-11-18,total_downloads_52wk,-0.2934532042241779,0.05828588850156535,4.785445557332398e-07,51333,26,Yes,WLS (HC1),2019-11-18,False
2019-11-25,total_downloads_52wk,-0.3729816989268429,0.05772804706634331,1.0400395009279115e-10,51911,26,Yes,WLS (HC1),2019-11-25,False
2019-12-02,total_downloads_52wk,-0.4544137242930118,0.05725478743304513,2.0764158771171637e-15,52566,26,Yes,WLS (HC1),2019-12-02,False
2019-12-09,total_downloads_52wk,-0.1626919607434904,0.05746013399624934,0.004634639409192577,52478,26,Yes,WLS (HC1),2019-12-09,False
2019-12-16,total_downloads_52wk,-0.2706061725277273,0.05583464083506272,1.256179373211286e-06,52815,26,Yes,WLS (HC1),2019-12-16,False
2019-12-23,total_downloads_52wk,-0.2769899041566863,0.055347191620205106,5.598156482428311e-07,53631,26,Yes,WLS (HC1),2019-12-23,False
2019-12-30,total_downloads_52wk,-0.13587319618955676,0.05615886235055883,0.015544274016728404,54405,26,Yes,WLS (HC1),2019-12-30,False
2020-01-06,total_downloads_52wk,-0.33133806620021283,0.06198441185024415,9.016464436483328e-08,55038,26,Yes,WLS (HC1),2020-01-06,False
2020-01-13,total_downloads_52wk,-0.2461549896516802,0.06057951460076166,4.837608539990552e-05,55345,26,Yes,WLS (HC1),2020-01-13,False
2020-01-20,total_downloads_52wk,-0.13477532203886208,0.05805496843343093,0.020259212200813215,55814,26,Yes,WLS (HC1),2020-01-20,False
2020-01-27,total_downloads_52wk,-0.1775180175255548,0.056811937941799624,0.0017801038951039505,57329,26,Yes,WLS (HC1),2020-01-27,False
2020-02-03,total_downloads_52wk,-0.1674858424948241,0.05631861847439793,0.0029404253460709445,60473,26,Yes,WLS (HC1),2020-02-03,False
2020-02-10,total_downloads_52wk,0.8315663231031144,0.055945414350700946,5.654674950133005e-50,61200,26,Yes,WLS (HC1),2020-02-10,False
2020-02-17,total_downloads_52wk,0.8586090267087193,0.05586106746189361,2.5841962438664203e-53,61532,26,Yes,WLS (HC1),2020-02-17,False
2020-02-24,total_downloads_52wk,0.8049534751411955,0.05648258472664251,4.3965458030077534e-46,61562,26,Yes,WLS (HC1),2020-02-24,False
2020-03-02,total_downloads_52wk,0.763641042157276,0.0552917214754269,2.183849759707263e-43,61613,26,Yes,WLS (HC1),2020-03-02,False
2020-03-09,total_downloads_52wk,0.6300911411595634,0.05543947813411086,6.218802472185456e-30,61967,26,Yes,WLS (HC1),2020-03-09,False
2020-03-16,total_downloads_52wk,0.46187312394478325,0.05514018188146603,5.459724479944715e-17,62315,26,Yes,WLS (HC1),2020-03-16,False
2020-03-23,total_downloads_52wk,0.32581819469398254,0.054221706379787404,1.8667195221165793e-09,62515,26,Yes,WLS (HC1),2020-03-23,False
2020-03-30,total_downloads_52wk,0.16421356392672706,0.05363542564460751,0.0022011158197246376,62741,26,Yes,WLS (HC1),2020-03-30,False
2020-04-06,total_downloads_52wk,0.024269008352516164,0.05258051317026931,0.6443976120787616,62701,26,Yes,WLS (HC1),2020-04-06,False
2020-04-13,total_downloads_52wk,0.20528196822839723,0.05403314739342243,0.00014517220954087304,62829,26,Yes,WLS (HC1),2020-04-13,False
2020-04-20,total_downloads_52wk,0.14184264260835133,0.05462643109452873,0.009415324299790414,62893,26,Yes,WLS (HC1),2020-04-20,False
2020-04-27,total_downloads_52wk,-0.04855386765151218,0.052426475587175496,0.3543770789232281,62822,26,Yes,WLS (HC1),2020-04-27,False
2020-05-04,total_downloads_52wk,-0.10630285788959454,0.05292349814845469,0.0445781283894969,62593,26,Yes,WLS (HC1),2020-05-04,False
2020-05-11,total_downloads_52wk,-0.3077263998399119,0.05231732879345771,4.055316741857588e-09,62511,26,Yes,WLS (HC1),2020-05-11,False
2020-05-18,total_downloads_52wk,-0.4450669645806998,0.05111515461250525,3.1162963474294363e-18,62700,26,Yes,WLS (HC1),2020-05-18,False
2020-05-25,total_downloads_52wk,-0.4670997496951813,0.05044041228425038,2.036165093750978e-20,62918,26,Yes,WLS (HC1),2020-05-25,False
2020-06-01,total_downloads_52wk,-0.4242701405731577,0.05085294887498499,7.238112929998247e-17,62966,26,Yes,WLS (HC1),2020-06-01,False
2020-06-08,total_downloads_52wk,-0.5236989030481901,0.050690449954230804,5.085959855019084e-25,62581,26,Yes,WLS (HC1),2020-06-08,False
2020-06-15,total_downloads_52wk,-0.4284890191001029,0.05214485585329254,2.0816605214470177e-16,62822,26,Yes,WLS (HC1),2020-06-15,False
2020-06-22,total_downloads_52wk,-0.5049451339980399,0.05109610964327334,4.969826866973539e-23,63216,26,Yes,WLS (HC1),2020-06-22,False
2020-06-29,total_downloads_52wk,-0.5424322180987767,0.050798283642413566,1.2879870826097935e-26,63465,26,Yes,WLS (HC1),2020-06-29,False
2020-07-06,total_downloads_52wk,-0.6193187373725864,0.049435316089872464,5.256162177263461e-36,63705,26,Yes,WLS (HC1),2020-07-06,False
2020-07-13,total_downloads_52wk,-0.7267409263600838,0.04887119929527965,5.120179659354851e-50,64284,26,Yes,WLS (HC1),2020-07-13,False
2020-07-20,total_downloads_52wk,-0.6122796641152408,0.04861127525868789,2.237519374943062e-36,63207,26,Yes,WLS (HC1),2020-07-20,False
2020-07-27,total_downloads_52wk,-0.0032744972293529432,0.049457849979806685,0.9472123580949525,61002,26,Yes,WLS (HC1),2020-07-27,False
2020-08-03,total_downloads_52wk,0.12860787072415192,0.04922352165658266,0.008982170309145176,61560,26,Yes,WLS (HC1),2020-08-03,False
2020-08-10,total_downloads_52wk,0.09000384936611859,0.048172498720082516,0.06171109995632722,62030,26,Yes,WLS (HC1),2020-08-10,False
2020-08-17,total_downloads_52wk,0.1787357060779253,0.047956586401399416,0.0001937482850752022,64587,26,Yes,WLS (HC1),2020-08-17,False
2020-08-24,total_downloads_52wk,0.20383665619093305,0.04871610895713191,2.8620536209972854e-05,65518,26,Yes,WLS (HC1),2020-08-24,False
2020-08-31,total_downloads_52wk,0.3653021716646174,0.04853491667723384,5.2084612652405216e-14,69881,26,Yes,WLS (HC1),2020-08-31,False
2020-09-07,total_downloads_52wk,0.5238038234296262,0.04799213261792131,9.841077447979854e-28,81397,26,Yes,WLS (HC1),2020-09-07,False
2020-09-14,total_downloads_52wk,0.6927720859827681,0.0477471897435457,1.0599557442714256e-47,82408,26,Yes,WLS (HC1),2020-09-14,False
2020-09-21,total_downloads_52wk,1.230413003970639,0.043027880305290846,7.595758391978621e-180,84429,26,Yes,WLS (HC1),2020-09-21,False
2020-09-28,total_downloads_52wk,1.9501141455733821,0.03604779244760368,0.0,87720,26,Yes,WLS (HC1),2020-09-28,False
2020-10-05,total_downloads_52wk,1.8957389434943035,0.03923410437192785,0.0,88591,26,Yes,WLS (HC1),2020-10-05,False
2020-10-12,total_downloads_52wk,1.6775659318542364,0.04316480872019889,0.0,88588,26,Yes,WLS (HC1),2020-10-12,False
2020-10-19,total_downloads_52wk,1.511173815526629,0.045713102589267626,1.202466365709469e-239,88744,26,Yes,WLS (HC1),2020-10-19,False
2020-10-26,total_downloads_52wk,1.2470259137694142,0.046925538684066286,1.3360305719134968e-155,88857,26,Yes,WLS (HC1),2020-10-26,False
2020-11-02,total_downloads_52wk,1.0012518096374066,0.048790546676651385,1.3857455959294757e-93,88989,26,Yes,WLS (HC1),2020-11-02,False
2020-11-09,total_downloads_52wk,0.42873275479359324,0.05235948078410371,2.650418802453043e-16,88720,26,Yes,WLS (HC1),2020-11-09,False
2020-11-16,total_downloads_52wk,0.11919208753314392,0.05191211507556293,0.02167382034518475,88643,26,Yes,WLS (HC1),2020-11-16,False
2020-11-23,total_downloads_52wk,-0.15891270062298193,0.050243963136666556,0.0015624795605953179,89834,26,Yes,WLS (HC1),2020-11-23,False
2020-11-30,total_downloads_52wk,-0.490776637919003,0.05034423639914757,1.8736603761567766e-22,89558,26,Yes,WLS (HC1),2020-11-30,False
2020-12-07,total_downloads_52wk,-0.8540104042189305,0.0494162300675914,6.42998281958801e-67,89230,26,Yes,WLS (HC1),2020-12-07,False
2020-12-14,total_downloads_52wk,-1.2250117690137552,0.04812176743383834,5.981518272637945e-143,89099,26,Yes,WLS (HC1),2020-12-14,False
2020-12-21,total_downloads_52wk,-1.5069893021612015,0.04751964968327516,1.0293491622341497e-220,88882,26,Yes,WLS (HC1),2020-12-21,False
2020-12-28,total_downloads_52wk,-1.721037128396477,0.04850958013406522,1.062617737832425e-275,88891,26,Yes,WLS (HC1),2020-12-28,False
2021-01-04,total_downloads_52wk,-2.0147291046381457,0.04816418009117899,0.0,88772,26,Yes,WLS (HC1),2021-01-04,False
2021-01-11,total_downloads_52wk,-2.2600535353301807,0.047844207224609865,0.0,89199,26,Yes,WLS (HC1),2021-01-11,False
2021-01-18,total_downloads_52wk,-2.407339525487277,0.04786576927034495,0.0,88026,26,Yes,WLS (HC1),2021-01-18,False
2021-01-25,total_downloads_52wk,-2.4523244714099173,0.04943179825662911,0.0,84977,26,Yes,WLS (HC1),2021-01-25,False
2021-02-01,total_downloads_52wk,-2.57169324322886,0.048299268041211776,0.0,85258,26,Yes,WLS (HC1),2021-02-01,False
2021-02-08,total_downloads_52wk,-2.9536486271612414,0.0482109584944324,0.0,83265,26,Yes,WLS (HC1),2021-02-08,False
2021-02-15,total_downloads_52wk,-2.9810949483477978,0.04786097580235869,0.0,82933,26,Yes,WLS (HC1),2021-02-15,False
2021-02-22,total_downloads_52wk,-2.883429001272391,0.048595223576080586,0.0,79275,26,Yes,WLS (HC1),2021-02-22,False
2021-03-01,total_downloads_52wk,-0.5548734390633587,0.049369887639489345,2.620200004052303e-29,68085,26,Yes,WLS (HC1),2021-03-01,False
2021-03-08,total_downloads_52wk,-0.2812959192609443,0.04898894217606205,9.354887928549283e-09,67737,26,Yes,WLS (HC1),2021-03-08,False
2021-03-15,total_downloads_52wk,-0.33839637486403923,0.049605888427758926,8.997084254532434e-12,67111,26,Yes,WLS (HC1),2021-03-15,False
2021-03-22,total_downloads_52wk,-0.37034977142162817,0.050075587187934596,1.405437216583237e-13,67129,26,Yes,WLS (HC1),2021-03-22,False
2021-03-29,total_downloads_52wk,-0.25983799288369275,0.04959506355879931,1.612823618469174e-07,66759,26,Yes,WLS (HC1),2021-03-29,False
2021-04-05,total_downloads_52wk,-0.38913272849084624,0.052077946192637406,7.891224186837071e-14,67205,26,Yes,WLS (HC1),2021-04-05,False
2021-04-12,total_downloads_52wk,0.12936768978887578,0.04364384346367737,0.0030350241613639616,69262,26,Yes,WLS (HC1),2021-04-12,False
2021-04-19,total_downloads_52wk,0.15832101577539362,0.04451951129380585,0.0003762342230756025,69537,26,Yes,WLS (HC1),2021-04-19,False
2021-04-26,total_downloads_52wk,2.2697803553079248,0.043580459511969864,0.0,73306,26,Yes,WLS (HC1),2021-04-26,False
2021-05-03,total_downloads_52wk,5.754600457473165,0.03683805983588269,0.0,84723,26,Yes,WLS (HC1),2021-05-03,False
2021-05-10,total_downloads_52wk,5.608134212290743,0.04275823659234723,0.0,85269,26,Yes,WLS (HC1),2021-05-10,False
2021-05-17,total_downloads_52wk,5.37538873301841,0.04953008213848096,0.0,84619,26,Yes,WLS (HC1),2021-05-17,False
2021-05-24,total_downloads_52wk,4.475071822590293,0.05649360621390282,0.0,84829,26,Yes,WLS (HC1),2021-05-24,False
2021-05-31,total_downloads_52wk,3.333098716479213,0.05800022088899798,0.0,85852,26,Yes,WLS (HC1),2021-05-31,False
2021-06-07,total_downloads_52wk,1.9516869813906712,0.05973700513341984,3.990910215440562e-234,86219,26,Yes,WLS (HC1),2021-06-07,False
2021-06-14,total_downloads_52wk,0.5228865202631746,0.05838239868102239,3.3595157784110917e-19,86553,26,Yes,WLS (HC1),2021-06-14,False
2021-06-21,total_downloads_52wk,-0.511033832058699,0.05482648883942817,1.1532560674008896e-20,88107,26,Yes,WLS (HC1),2021-06-21,False
2021-06-28,total_downloads_52wk,-1.2088615799077769,0.0559332924271126,1.3685022898857023e-103,88036,26,Yes,WLS (HC1),2021-06-28,False
2021-07-05,total_downloads_52wk,-1.919891429427106,0.05352946511921886,1.0331782537332689e-281,87561,26,Yes,WLS (HC1),2021-07-05,False
2021-07-12,total_downloads_52wk,-2.2585650381236815,0.0513241507716812,0.0,87479,26,Yes,WLS (HC1),2021-07-12,False
2021-07-19,total_downloads_52wk,-1.2923391769811508,0.05213592204473775,1.2112209200149974e-135,88947,26,Yes,WLS (HC1),2021-07-19,False
2021-07-26,total_downloads_52wk,-1.3798180887155516,0.048698145546423856,1.314277903569774e-176,89951,26,Yes,WLS (HC1),2021-07-26,False
2021-08-02,total_downloads_52wk,-1.582289940329157,0.04649073688363785,6.877743515032842e-254,89611,26,Yes,WLS (HC1),2021-08-02,False
2021-08-09,total_downloads_52wk,-1.6448920864874927,0.045502545677013194,3.7949953145964383e-286,88025,26,Yes,WLS (HC1),2021-08-09,False
2021-08-16,total_downloads_52wk,-1.4019135370354838,0.044618141565026276,1.070158451268665e-216,88621,26,Yes,WLS (HC1),2021-08-16,False
2021-08-23,total_downloads_52wk,-0.8728024500697077,0.0451866155344462,3.977958979308101e-83,85735,26,Yes,WLS (HC1),2021-08-23,False
2021-08-30,total_downloads_52wk,0.2229066836374816,0.048747008321956255,4.8142086738122834e-06,75585,26,Yes,WLS (HC1),2021-08-30,False
2021-09-06,total_downloads_52wk,0.1766341063395847,0.048519024949572796,0.0002720961249238075,75441,26,Yes,WLS (HC1),2021-09-06,False
2021-09-13,total_downloads_52wk,0.3793530597986304,0.049514659744387804,1.8387524173319966e-14,75212,26,Yes,WLS (HC1),2021-09-13,False
2021-09-20,total_downloads_52wk,0.26512498927236855,0.05058973348928505,1.5997934848383978e-07,75236,26,Yes,WLS (HC1),2021-09-20,False
2021-09-27,total_downloads_52wk,0.5591354375324854,0.05244659356714138,1.5484946398817102e-26,76864,26,Yes,WLS (HC1),2021-09-27,True
2021-10-04,total_downloads_52wk,0.36027653136980164,0.05130761923057853,2.188846129644584e-12,77469,26,Yes,WLS (HC1),2021-10-04,False
2021-10-11,total_downloads_52wk,0.0777203482302436,0.05001664643254366,0.12021074567387381,78259,26,Yes,WLS (HC1),2021-10-11,False
2021-10-18,total_downloads_52wk,-0.08599276641158546,0.04965490103257568,0.08330771181850453,78029,26,Yes,WLS (HC1),2021-10-18,False
2021-10-25,total_downloads_52wk,-0.2643960504202934,0.04917859109171993,7.60561785484547e-08,78015,26,Yes,WLS (HC1),2021-10-25,False
2021-11-01,total_downloads_52wk,-0.23169642769838297,0.04900089903557962,2.2628291824679907e-06,78260,26,Yes,WLS (HC1),2021-11-01,False
2021-11-08,total_downloads_52wk,-0.36017601665581617,0.04947216911515425,3.3288984936054034e-13,78284,26,Yes,WLS (HC1),2021-11-08,False
2021-11-15,total_downloads_52wk,-0.32216454721552923,0.05027306465571722,1.471575381469082e-10,77152,26,Yes,WLS (HC1),2021-11-15,False
2021-11-22,total_downloads_52wk,-0.5662160322177652,0.05015474657747413,1.480761719455659e-29,76708,26,Yes,WLS (HC1),2021-11-22,False
2021-11-29,total_downloads_52wk,-0.7723228564036945,0.04953950823883138,8.508184056534146e-55,76772,26,Yes,WLS (HC1),2021-11-29,False
2021-12-06,total_downloads_52wk,-0.8833432500462101,0.04859258799807799,7.631216022274407e-74,76821,26,Yes,WLS (HC1),2021-12-06,False
2021-12-13,total_downloads_52wk,-0.6002285279627793,0.04949890086947409,7.682349006416296e-34,75996,26,Yes,WLS (HC1),2021-12-13,False
2021-12-20,total_downloads_52wk,-0.7117150449224962,0.04862280550274425,1.6197526903966345e-48,76315,26,Yes,WLS (HC1),2021-12-20,False
2021-12-27,total_downloads_52wk,-0.725579119716468,0.04893981911088104,9.956713379763761e-50,76460,26,Yes,WLS (HC1),2021-12-27,False
2022-01-03,total_downloads_52wk,-0.5521665245353999,0.051263377838962926,4.7098090973256706e-27,76773,26,Yes,WLS (HC1),2022-01-03,False
2022-01-10,total_downloads_52wk,-0.7798404758477415,0.04973366990198767,2.0617244958708314e-55,76263,26,Yes,WLS (HC1),2022-01-10,False
2022-01-17,total_downloads_52wk,-0.5430878726057968,0.04924611453573253,2.7991425135894573e-28,74983,26,Yes,WLS (HC1),2022-01-17,False
